                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    111,                0.23733,                0.21592,                0.85659,                0.93592,                0.77771,                0.80956,                0.79347,                0.86034,                 1.2396,                  1.516,             0.00065091,             0.00065091,             0.00065091
                    112,                 0.2344,                 0.2157,                0.84461,                0.88438,                0.78403,                0.80739,                0.79634,                0.80268,                   1.33,                 1.4447,             0.00064384,             0.00064384,             0.00064384
                    113,                0.25071,                0.22547,                0.84745,                0.87871,                0.78403,                0.81768,                0.80526,                0.83049,                  1.187,                 1.4811,             0.00063676,             0.00063676,             0.00063676
                    114,                0.24491,                0.21891,                0.85932,                0.98654,                0.77665,                0.82119,                0.78962,                0.92665,                0.96436,                 1.5872,             0.00062969,             0.00062969,             0.00062969
                    115,                0.25017,                0.24431,                0.86746,                0.99312,                0.78052,                 0.8249,                0.81328,                0.85437,                 0.8413,                 1.4983,             0.00062262,             0.00062262,             0.00062262
                    116,                0.23506,                0.22468,                0.85483,                0.99579,                0.78403,                0.81659,                 0.7996,                0.79068,                0.78181,                 1.4127,             0.00061554,             0.00061554,             0.00061554
                    117,                0.23636,                0.21699,                0.84968,                0.99597,                0.78403,                0.80794,                0.79575,                0.83396,                0.80678,                 1.4584,             0.00060847,             0.00060847,             0.00060847
                    118,                0.24939,                0.22025,                0.85637,                0.99445,                0.77361,                0.80131,                0.78177,                0.88095,                0.89312,                 1.5262,             0.00060139,             0.00060139,             0.00060139
                    119,                0.21969,                0.20537,                0.85222,                0.99574,                0.77361,                0.79987,                0.77643,                0.84262,                0.89636,                  1.455,             0.00059432,             0.00059432,             0.00059432
                    120,                0.23728,                0.22827,                0.86019,                0.99546,                0.77361,                0.79303,                0.77488,                0.86539,                0.93104,                 1.5032,             0.00058725,             0.00058725,             0.00058725
                    121,                0.24148,                0.22118,                 0.8515,                0.99649,                0.76528,                0.79814,                0.77557,                0.83638,                0.97104,                 1.4722,             0.00058017,             0.00058017,             0.00058017
                    122,                0.24046,                0.21795,                0.84996,                0.98087,                0.76611,                  0.802,                0.77827,                0.84634,                 1.0945,                 1.4911,              0.0005731,              0.0005731,              0.0005731
                    123,                0.23393,                0.21487,                0.85636,                0.99333,                0.77273,                0.80834,                0.79453,                0.81162,                 1.0477,                  1.444,             0.00056603,             0.00056603,             0.00056603
                    124,                 0.2287,                0.20746,                0.84606,                0.99801,                0.77562,                0.81048,                0.79667,                0.81507,                0.98704,                 1.4371,             0.00055895,             0.00055895,             0.00055895
                    125,                0.22314,                0.20403,                0.84931,                0.99597,                0.78362,                0.81563,                0.80213,                0.82921,                0.88114,                 1.4248,             0.00055188,             0.00055188,             0.00055188
                    126,                0.23379,                0.22476,                0.85983,                0.99011,                0.78247,                0.81698,                 0.8122,                0.76644,                0.83958,                  1.385,             0.00054481,             0.00054481,             0.00054481
                    127,                0.22995,                0.21799,                0.85377,                 0.9773,                0.76584,                0.82619,                 0.8138,                0.82073,                 1.0579,                 1.4722,             0.00053773,             0.00053773,             0.00053773
                    128,                0.22929,                0.21143,                0.84821,                0.98614,                0.77361,                0.82655,                0.81646,                0.85007,                 1.0859,                 1.4806,             0.00053066,             0.00053066,             0.00053066
                    129,                 0.2331,                0.21267,                0.85817,                 0.9914,                0.77534,                0.82641,                0.81183,                0.88334,                0.97333,                 1.4622,             0.00052359,             0.00052359,             0.00052359
                    130,                0.22609,                0.20723,                0.85114,                0.99619,                0.77438,                 0.8316,                0.82213,                0.88448,                0.93332,                 1.4603,             0.00051651,             0.00051651,             0.00051651
                    131,                0.22473,                 0.2013,                0.85069,                0.98242,                0.77581,                0.83529,                0.82759,                0.85831,                0.93376,                 1.4103,             0.00050944,             0.00050944,             0.00050944
                    132,                0.23028,                0.20871,                0.85907,                0.98844,                0.77499,                0.82462,                0.81873,                0.83855,                0.97335,                 1.3884,             0.00050236,             0.00050236,             0.00050236
                    133,                0.21605,                0.19967,                0.84917,                0.99726,                 0.7745,                0.83787,                0.82467,                0.86895,                0.91494,                 1.4004,             0.00049529,             0.00049529,             0.00049529
                    134,                0.22599,                0.21089,                0.84318,                0.99773,                0.77432,                0.83096,                0.82159,                0.85398,                 0.9281,                 1.4068,             0.00048822,             0.00048822,             0.00048822
                    135,                0.22747,                0.20035,                0.84855,                 0.9956,                0.77361,                0.82552,                0.81819,                0.86538,                0.98936,                 1.4243,             0.00048114,             0.00048114,             0.00048114
                    136,                0.21542,                0.20786,                 0.8543,                0.99112,                0.76528,                 0.8066,                 0.7887,                0.88114,                 1.0795,                 1.4732,             0.00047407,             0.00047407,             0.00047407
                    137,                0.21511,                0.20551,                0.85316,                0.97782,                0.76528,                0.79253,                0.78718,                0.87233,                 1.0199,                 1.4963,               0.000467,               0.000467,               0.000467
                    138,                0.21346,                 0.2017,                0.85246,                0.99252,                0.76528,                0.81097,                0.80112,                0.81671,                 1.1041,                 1.4208,             0.00045992,             0.00045992,             0.00045992
                    139,                0.21522,                0.21008,                0.84734,                0.99918,                0.75409,                0.82242,                0.81652,                0.81923,                 1.1009,                  1.449,             0.00045285,             0.00045285,             0.00045285
                    140,                0.22559,                0.21866,                0.84582,                0.99195,                0.76528,                0.81727,                 0.8013,                0.84872,                 1.1294,                 1.4878,             0.00044578,             0.00044578,             0.00044578
                    141,                0.21166,                0.20962,                0.84324,                0.99097,                0.76528,                0.81049,                0.80043,                0.83941,                 1.1739,                 1.4687,              0.0004387,              0.0004387,              0.0004387
                    142,                0.20691,                0.20182,                0.84851,                0.99361,                0.76528,                0.81532,                0.80537,                0.80821,                 1.1421,                 1.4295,             0.00043163,             0.00043163,             0.00043163
                    143,                0.22192,                0.20422,                0.85149,                0.99352,                0.76528,                0.81683,                0.80903,                0.77287,                 1.0405,                 1.4004,             0.00042456,             0.00042456,             0.00042456
                    144,                0.20305,                0.18753,                0.84738,                0.99601,                0.76631,                0.82111,                0.80871,                0.79047,                  1.022,                 1.4069,             0.00041748,             0.00041748,             0.00041748
                    145,                0.21004,                0.19444,                0.84666,                0.99545,                0.76528,                0.81961,                0.80679,                0.81417,                 1.0048,                  1.412,             0.00041041,             0.00041041,             0.00041041
                    146,                0.20282,                0.18838,                0.84915,                0.98995,                0.76528,                0.82049,                0.81033,                0.90151,                 1.0443,                 1.5208,             0.00040334,             0.00040334,             0.00040334
                    147,                0.20838,                0.20411,                0.85189,                0.98175,                0.76528,                0.80254,                0.79913,                0.90831,                  1.035,                 1.5464,             0.00039626,             0.00039626,             0.00039626
                    148,                0.20997,                0.19205,                0.85147,                0.97589,                0.76528,                0.80305,                0.78782,                0.87752,                 1.0289,                 1.5036,             0.00038919,             0.00038919,             0.00038919
                    149,                0.20418,                0.18757,                0.84601,                0.98022,                0.76528,                 0.7921,                0.78667,                0.88725,                 1.0124,                 1.5086,             0.00038211,             0.00038211,             0.00038211
                    150,                0.20769,                0.20016,                0.86053,                0.98021,                0.76528,                0.79878,                0.79088,                0.88417,                 1.0122,                 1.5028,             0.00037504,             0.00037504,             0.00037504
                    151,                0.20634,                0.19298,                0.84077,                0.99458,                0.76528,                0.81379,                0.79828,                0.88507,                 0.9163,                 1.4909,             0.00036797,             0.00036797,             0.00036797
                    152,                0.20895,                0.19409,                  0.849,                0.99676,                0.76528,                0.82009,                0.80389,                0.85287,                 0.8699,                 1.4619,             0.00036089,             0.00036089,             0.00036089
